id,name,description,price,color,qty
77562160,"Adidas Men's Tiro 19 Training Pants","Slip on the adidas Men's Tiro 19 Training Pan",29.99,Black,213
78121150,"Rawlings Recreational Use Baseballs 2-Pack","Each of the 2 OLB3 baseballs features a solid",6.99,White,305
78566812,"Rawlings RGB 12.5 in Baseball Glove","The adjustable design helps provide a customi",34.99,Brown,125
78863216,"CAP Barbell 100 lb. Vinyl Weight Set","The 2-piece 5' bar is made of tubular steel f",39.99,Black,3
78951620,"Nike Pitch Soccer Ball","Its 12-panel design helps ensure durability, ",19.99,Red,204
78965136,"Adidas Men's 4KRFT Sport Ultimate Knit Shorts","The 88% recycled polyester and 12% elastane p",26.25,Gray,56
78965926,"Adidas Men's FreeLift Sport Prime Lite T-shir","made from a breathable polyester and elastane",18.75,Blue,120
79220325,"ProForm 505 CST Treadmill","18 preprogrammed workouts and adjustable incl",579.99,Black,6
79324685,"CAP Barbell Solid 6' Bar","Constructed from solid steel with a chrome fi",33.99,Chrome,17
79484346,"Adidas Ultraboost","They are running shoes for athletes",149.99,Black,15
79484386,"Football Helmet","A helmet that is meant to protect the head of",99.99,Black,5
79484552,"Nike React Infinity Run Flyknit","They are running shoes for Female athletes",159.99,Red,3
79513150,"Axe Bat Adults' L180 Maple Composite BBCOR Ba","This baseball bat is made of hard maple wood ",134.99,Black,12
79521574,"Spalding NBA Pro Grip Basketball","Natural rubber bladder and nylon/poly winding",24.99,Brown,51
79558542,"CAP Barbell 45 lb. Olympic Grip Plate","The plate features a 3-hole design and has cu",39.99,Black,21
